,Iteration,Explained Variance,MSE,R2,repetition
0,0,0.46444016695022583,0.12174848,0.46318517551827987,0
1,1,0.4596458077430725,0.127579,0.43747720818011326,0
2,2,0.4525126814842224,0.1246167,0.4505386013193433,0
3,3,0.47999459505081177,0.118550986,0.4772835618294643,0
4,4,0.46413058042526245,0.12303567,0.4575097204422872,0
5,5,0.49393367767333984,0.11477841,0.49391769032743604,0
6,6,0.47990167140960693,0.118722975,0.47652525028144344,0
7,7,0.49787962436676025,0.11399782,0.4973594628455702,0
8,8,0.4596453905105591,0.1239332,0.45355223701481595,0
9,9,0.5186742544174194,0.11098911,0.5106255006558676,0
10,10,0.4841838479042053,0.11930643,0.4739526658960651,0
0,0,0.5080406665802002,0.111682005,0.5075703537664928,1
1,1,0.4820271134376526,0.11950354,0.47308362800283643,1
2,2,0.5304278135299683,0.10708208,0.5278524048189925,1
3,3,0.5060287714004517,0.112064786,0.5058826386076921,1
4,4,0.5318918228149414,0.10644789,0.5306486989746099,1
5,5,0.5281288027763367,0.1092095,0.5184722109405975,1
6,6,0.5191175937652588,0.12248218,0.4599501638067167,1
7,7,0.5289881229400635,0.10686761,0.5287980665615678,1
8,8,0.5524963140487671,0.10155361,0.5522285898878604,1
9,9,0.556914210319519,0.10060241,0.5564226790510214,1
10,10,0.5267589092254639,0.11578608,0.48947467186232896,1
0,0,0.5153579711914062,0.12379213,0.45417429588762104,2
1,1,0.4878602623939514,0.11615222,0.48786029805991116,2
2,2,0.4607762098312378,0.12288765,0.45816240183775747,2
3,3,0.46324431896209717,0.13295825,0.4137589481263937,2
4,4,0.4458339214324951,0.12594998,0.4446598780217509,2
5,5,0.4566119313240051,0.12547225,0.44676627821743276,2
6,6,0.47456973791122437,0.11961397,0.47259672761760285,2
7,7,0.4756584167480469,0.11972365,0.47211309432393367,2
8,8,0.465869665145874,0.12271078,0.4589421910560716,2
9,9,0.4749261736869812,0.120762534,0.46753238638056605,2
10,10,0.48765653371810913,0.12000508,0.47087222634509496,2
0,0,0.5175154209136963,0.11562005,0.49020677914743793,3
1,1,0.5227457284927368,0.11698003,0.48421028042384784,3
2,2,0.5179091691970825,0.110777125,0.5115602468638955,3
3,3,0.5369449853897095,0.105631515,0.5342482514928366,3
4,4,0.5148118734359741,0.11932136,0.47388684712858997,3
5,5,0.5171339511871338,0.11046483,0.5129371756249984,3
6,6,0.5249816179275513,0.10782765,0.5245650590971493,3
7,7,0.5091280937194824,0.1119489,0.5063935799637582,3
8,8,0.5353318452835083,0.1071419,0.5275886661103503,3
9,9,0.5490410327911377,0.102554455,0.5478156953029177,3
10,10,0.5452884435653687,0.10313446,0.5452583293906225,3
0,0,0.48287415504455566,0.117355265,0.4825557895051966,4
1,1,0.4639700651168823,0.12241392,0.4602511117492978,4
2,2,0.48256152868270874,0.117393166,0.48238867013653874,4
3,3,0.48630017042160034,0.13561946,0.40202511918375294,4
4,4,0.5017722249031067,0.1135522,0.4993243077989775,4
5,5,0.45881885290145874,0.12407732,0.45291684097906504,4
6,6,0.4550108313560486,0.12523776,0.4478001298884543,4
7,7,0.49178367853164673,0.12081678,0.46729320219343085,4
8,8,0.5201711654663086,0.110727005,0.5117811787529756,4
9,9,0.5086732506752014,0.11192528,0.5064977387894195,4
10,10,0.47629886865615845,0.121135876,0.46588628755760186,4
