,Iteration,Explained Variance,MSE,R2,repetition
0,0,0.46444016695022583,0.12174848,0.46318517551827987,0
1,1,0.4858137369155884,0.11958305,0.47273305709867053,0
2,2,0.45815789699554443,0.123445384,0.4557031624571154,0
3,3,0.44051462411880493,0.12794626,0.43585787190437564,0
4,4,0.4704524278640747,0.120103054,0.4704402197527555,0
5,5,0.4719371199607849,0.12172799,0.4632754882045632,0
6,6,0.4766719937324524,0.1189449,0.47554674887987913,0
7,7,0.497752845287323,0.11394203,0.49760548298967955,0
8,8,0.4898577928543091,0.11575908,0.48959370796009827,0
9,9,0.45078229904174805,0.124561496,0.4507819866715219,0
10,10,0.4727838635444641,0.12364449,0.4548252367497332,0
0,0,0.5080406665802002,0.111682005,0.5075703537664928,1
1,1,0.5167970657348633,0.10963037,0.5166164824256613,1
2,2,0.5312404632568359,0.106396824,0.530873853528262,1
3,3,0.47688233852386475,0.11868122,0.4767093760891825,1
4,4,0.5059325695037842,0.11974863,0.47200296204809256,1
5,5,0.5351410508155823,0.10581163,0.533454092558646,1
6,6,0.504128098487854,0.11309262,0.5013506697204744,1
7,7,0.5257852077484131,0.10887789,0.5199343284224041,1
8,8,0.5097537040710449,0.113947116,0.4975830075200771,1
9,9,0.5147123336791992,0.11135647,0.5090057738998408,1
10,10,0.5124083757400513,0.11062014,0.5122523197760424,1
0,0,0.5153579711914062,0.12379213,0.45417429588762104,2
1,1,0.48621392250061035,0.11837556,0.47805708617670506,2
2,2,0.46415799856185913,0.12265183,0.45920208422884956,2
3,3,0.43957942724227905,0.12723938,0.438974567548145,2
4,4,0.44615793228149414,0.13900697,0.38708884072006633,2
5,5,0.4521571397781372,0.12470203,0.4501623258922658,2
6,6,0.47593069076538086,0.11918351,0.4744946817037854,2
7,7,0.48512446880340576,0.11803026,0.4795796152829821,2
8,8,0.4748533368110657,0.11923927,0.47424879878555726,2
9,9,0.47364890575408936,0.12209339,0.4616643919528576,2
10,10,0.4864453077316284,0.117638916,0.48130515369256477,2
0,0,0.5175154209136963,0.11562005,0.49020677914743793,3
1,1,0.5092357397079468,0.11299661,0.501774032761106,3
2,2,0.4973527789115906,0.11659371,0.48591360354659385,3
3,3,0.5011625289916992,0.113923855,0.49768557868800056,3
4,4,0.5574208498001099,0.10037668,0.5574179646981502,3
5,5,0.5231790542602539,0.108599864,0.5211601738600774,3
6,6,0.531825602054596,0.10618954,0.5317878531679687,3
7,7,0.557602047920227,0.10355347,0.5434108260246154,3
8,8,0.5320653915405273,0.11402341,0.4972466558635955,3
9,9,0.5419844388961792,0.104010426,0.5413960179334376,3
10,10,0.5679974555969238,0.13151689,0.4201142100383637,3
0,0,0.48287415504455566,0.117355265,0.4825557895051966,4
1,1,0.44939255714416504,0.12731816,0.43862722996939774,4
2,2,0.46347254514694214,0.14526856,0.3594801789343375,4
3,3,0.5082225203514099,0.1119689,0.5063054404631038,4
4,4,0.49439990520477295,0.11673235,0.4853023952816431,4
5,5,0.49628758430480957,0.13185576,0.4186200633957524,4
6,6,0.5023436546325684,0.11851903,0.47742446997489085,4
7,7,0.5155145525932312,0.11406645,0.49705683702679826,4
8,8,0.4983413815498352,0.122068994,0.4617720012545259,4
9,9,0.5207082629203796,0.10933141,0.5179346852979891,4
10,10,0.478135883808136,0.11844205,0.47776392273464685,4
