,Iteration,Explained Variance,MSE,R2,repetition
0,0,0.5396769642829895,0.10998717,0.515043254250865,0
1,1,0.5245952606201172,0.10919507,0.518535843831663,0
2,2,0.521016001701355,0.11010142,0.5145395475096974,0
3,3,0.5112924575805664,0.111071244,0.5102633867483468,0
4,4,0.5163654088973999,0.11116011,0.5098715354685602,0
5,5,0.5020028352737427,0.11313367,0.5011697075264621,0
6,6,0.5278871059417725,0.1074918,0.5260459031671427,0
7,7,0.5191434621810913,0.1091752,0.5186234186798011,0
8,8,0.51835697889328,0.110502124,0.5127727251722312,0
9,9,0.514892578125,0.1112604,0.5094293636779352,0
10,10,0.5251240730285645,0.10861069,0.5211124179871895,0
0,0,0.5338737964630127,0.10868828,0.5207703538633947,1
1,1,0.5380024313926697,0.10577442,0.5336181569606921,1
2,2,0.5469460487365723,0.10327485,0.5446393010578161,1
3,3,0.5064457654953003,0.111981936,0.5062479106915867,1
4,4,0.540880560874939,0.104200564,0.5405576606356142,1
5,5,0.5191106796264648,0.10911759,0.5188774266066982,1
6,6,0.5444028377532959,0.10343553,0.5439308397268677,1
7,7,0.5467289090156555,0.10330757,0.5444950490227826,1
8,8,0.5439369678497314,0.10343912,0.5439150155742476,1
9,9,0.5333226919174194,0.106961526,0.5283839637128498,1
10,10,0.5362398624420166,0.105334915,0.5355560873390963,1
