,Iteration,Explained Variance,MSE,R2,repetition
0,0,0.5396769642829895,0.10998717,0.515043254250865,0
1,1,0.5396769642829895,0.10998717,0.515043254250865,0
2,2,0.5396769642829895,0.10998717,0.515043254250865,0
3,3,0.5396769642829895,0.10998717,0.515043254250865,0
4,4,0.5396769642829895,0.10998717,0.515043254250865,0
5,5,0.5396769642829895,0.10998717,0.515043254250865,0
6,6,0.5396769642829895,0.10998717,0.515043254250865,0
7,7,0.5396769642829895,0.10998717,0.515043254250865,0
8,8,0.5396769642829895,0.10998717,0.515043254250865,0
9,9,0.5396769642829895,0.10998717,0.515043254250865,0
10,10,0.5121647119522095,0.113362156,0.5001622240543296,0
0,0,0.5338737964630127,0.10868828,0.5207703538633947,1
1,1,0.5338737964630127,0.10868828,0.5207703538633947,1
2,2,0.5338737964630127,0.10868828,0.5207703538633947,1
3,3,0.5338737964630127,0.10868828,0.5207703538633947,1
4,4,0.5338737964630127,0.10868828,0.5207703538633947,1
5,5,0.5338737964630127,0.10868828,0.5207703538633947,1
6,6,0.5338737964630127,0.10868828,0.5207703538633947,1
7,7,0.5338737964630127,0.10868828,0.5207703538633947,1
8,8,0.5338737964630127,0.10868828,0.5207703538633947,1
9,9,0.5338737964630127,0.10868828,0.5207703538633947,1
10,10,0.5612191557884216,0.100924015,0.5550046485706758,1
